company,website,rating,number_review,domain
Viator.com,www.viator.com,4.4,260639,['Travel Agency']
JustFly,justfly.com,4.2,194179,"['Travel Agency', 'Flights Search Site']"
Vegas.com,www.vegas.com,4.6,163448,['Travel Agency']
Gotogate,www.gotogate.com,3.1,141912,['Travel & Vacation']
Allianz Partners USA,www.allianztravelinsurance.com,4.1,126673,"['Travel Insurance Company', 'Financial Consultant', 'Travel Agency', 'Insurance Agency']"
Vrbo,www.vrbo.com,1.3,117752,"['Vacation Rental', 'Travel Agency']"
FlightHub,flighthub.com,4.0,110842,"['Flights Search Site', 'Travel Agency']"
ASAP Tickets,www.asaptickets.com,4.9,97094,"['Travel Agency', 'Flights Search Site', 'Airline Ticket Agency']"
Priceline,www.priceline.com,3.8,95379,"['Travel Agency', 'Flights Search Site']"
Way,www.way.com,3.5,75701,"['Travel Agency', 'Parking Lot']"
CheapFareGuru,cheapfareguru.com,4.4,70924,['Travel Agency']
AirTkt,airtkt.com,4.5,70488,['Travel Agency']
iVisa,ivisa.com,4.4,61341,['Visa Consultant']
SmartFares,www.smartfares.com,3.9,59271,"['Travel Agency', 'Flights Search Site']"
AirportParkingReservations.com,www.airportparkingreservations.com,4.2,46420,"['Travel Aggregator', 'Airport Shuttle Service']"
Guest Reservations,guestreservations.com,2.7,44893,"['Travel Aggregator', 'Hotel', 'Group Accommodation', 'Lodging', 'Travel Agency', 'Resort']"
Ship Sticks,shipsticks.com,4.7,43384,"['Travel Agency', 'Shipping Company']"
Reservation Counter,reservationcounter.com,3.9,41983,"['Travel Aggregator', 'Travel Agency']"
Super.com,super.com,4.4,39913,"['Hotel', 'Alternative Financial Service', 'e-Commerce Service']"
Headout,headout.com,4.2,39218,['Travel Agency']
parksleepfly.com,parksleepfly.com,4.1,39038,['Travel Agency']
AARDY,aardy.com,4.9,35330,"['Travel Insurance Company', 'Travel Agency', 'Insurance Agency', 'Financial Consultant']"
WallyPark Airport Parking,wallypark.com,3.2,33425,"['Parking Garage', 'Valet Parking Service', 'Airport Shuttle Service', 'Parking Lot']"
Global Airport Parking,globalairportparking.com,3.8,30278,"['Travel Agency', 'Parking Lot']"
Go City®,gocity.com,4.3,29493,['Travel Aggregator']
The New York Pass,newyorkpass.com,4.6,26575,['Travel Aggregator']
CheapOair.com,www.cheapoair.com,4.2,26254,"['Travel Agency', 'Travel Aggregator']"
Outdoorsy,www.outdoorsy.com,3.9,25825,"['Travel Agency', 'Vacation Rental', 'Lodging', 'RV Dealer', 'Recreational Vehicle Rental Agency', 'Camp']"
Bravofly,www.bravofly.com,3.2,24680,"['Flights Search Site', 'Travel Agency', 'Car Rental Agency', 'Car Accessories Store', 'Hotel']"
Great Value Vacations,greatvaluevacations.com,4.1,24152,"['Travel Agency', 'Tour Operator']"
SkyLux Travel,www.skyluxtravel.com,4.8,23293,"['Airline Ticket Agency', 'Flights Search Site', 'Travel Agency']"
EF Educational Tours,www.eftours.com,4.5,21528,"['Tour Agency', 'Travel Agency']"
TrustedHousesitters,www.trustedhousesitters.com,4.5,20898,"['Travel Agency', 'Pet Store', 'Hobby Store']"
Flyus.com,flyus.com,4.0,20690,"['Travel Agency', 'Flights Search Site']"
BookIt.com,bookit.com,2.1,18656,"['Hotel', 'Flights Search Site', 'Travel Agency', 'Travel Aggregator']"
Omio,omio.com,4.4,17834,"['Airline Ticket Agency', 'Train Ticket Agency', 'Flights Search Site', 'Bus Ticket Agency']"
Vayama.com,www.vayama.com,1.7,17620,"['Flights Search Site', 'Travel Agency']"
HomeExchange,www.homeexchange.com,4.7,17030,"['Tourist Attraction', 'Holiday Home', 'Holiday Accommodation Service', 'Self-Catering Accommodation', 'Homestay', 'Lodging']"
BudgetAir.com,www.budgetair.com,2.2,16842,"['Travel Agency', 'Flights Search Site', 'Airline Ticket Agency', 'Travel Aggregator', 'Car Rental Agency']"
RVshare,rvshare.com,4.2,16647,"['Pet-Friendly Accommodation', 'Vacation Rental', 'Camp', 'Lodging', 'Travel Agency']"
Airport Van Rental,airportvanrental.com,1.8,16396,"['Travel Agency', 'Car Accessories Store', 'Car Rental Agency']"
Wisecars,www.wisecars.com,4.5,16277,"['Car Rental Agency', 'Search Engine Company', 'Travel Agency', 'Transportation Service']"
Mozio,www.mozio.com,4.9,15644,"['Travel Aggregator', 'Transportation Service', 'Travel Agency', 'Web Collaboration Platform', 'Software Company']"
Newark Airport Long Term Parking,newarklongtermparking.com,4.8,15521,"['Parking Lot', 'Travel Agency']"
