name,country,rating,title,text,date_of_experience,has_reply,company
Bilal Badshah,US,5,Really quick and good price,Really quick and good rate,2025-07-09,0,justfly.com
HH,GB,1,Appalling experience,"Appalling experience. They took our money, cancelled the booking and promised a refund in 3 months time. The live chat was just an AI with generic “sorry for your experience” responses. No way to get through to a human. Most positive reviews here look AI generated. Family holiday ruined. DO NOT USE.",2025-07-09,0,justfly.com
Elizabeth MacDonald,CA,2,Price scam,"I booked with a great price and answered all the confirmation questions in the right timeframe but then got a pop-up that one of my flights was ""no longer available"" and the alternatives didn't work for me... so I apparently wasn't charged the bokking and when I re-launched the search the flight I previously selected was suddenly available again at a higher price. Felt very sketchy and predatory.",2025-07-09,0,flighthub.com
Silvana Salerno,CA,5,Love this site,"FlughtHub is easy, straightforward and simple. Best prices.",2025-07-09,0,flighthub.com
GRETA SER,ZA,1,hidden cost,hidden cost,2025-07-09,0,www.smartfares.com
Jess Garcia,US,5,I’m thankful to have found this flight,"I’m thankful to have found this flight, and the process was so easy! Thank you!",2025-07-09,0,www.cheapoair.com
Francis Nempa,US,5,You did great,You did great. It was easy to follow and do the booking. Thanks a lot.,2025-07-09,0,www.cheapoair.com
Louanna,US,5,Patience,It was great,2025-07-09,0,www.cheapoair.com
John,US,5,Great service,Great service,2025-07-09,0,www.cheapoair.com
James,TH,5,Easy to use,Easy to use and inexpensive.,2025-07-09,0,www.cheapoair.com
Jalal,AE,1,Difference beween announced price and paid price,"I booked a flight ticket through Bravofly company from Dubai to Amman (Booking ID: 2948290842). The displayed price at the time of booking was AED 993, and I was asked to pay an additional AED 20 as a Visa fee, making the total amount AED 1,013.However, the amount charged to my card was significantly higher—AED 1,260.Why is there a discrepancy of over AED 200 between the advertised price and the charged amount?Is this kind of practice considered professional on your part?",2025-07-09,0,www.bravofly.com
Linda Wallace,AU,5,Trusted Pet Sitters has been amazing…,"Trusted Pet Sitters has been amazing for me! I have found so many wonderful people through this platform. As someone who travels a lot, it's invaluable. Highly recommend!",2025-07-09,0,www.trustedhousesitters.com
Mohamed Imthiyas,AE,5,Very easy for booking and very low…,Very easy for booking and very low charges,2025-07-09,1,www.budgetair.com
Arthur M Viray,US,5,Unbelievable service.friendly and very…,"Unbelievable service.friendly and very knowledgeable and easy to understand. And I would like to thank Miss Lane Dulfo for helping me. Actually she deserve 10 Stars! You need more employees like her. Thank you, Arthu Viray",2025-07-09,0,www.mangotours.com
Ferdinand  Gapasin,US,5,Kc Jacinto is very helpful and patient in helping us getting our flight schedule and ticket that work for us.thank you so much and keep up good job.,Kc Jacinto is,2025-07-09,0,www.mangotours.com
Jonalyn Gapasin,US,5,Kc Jacinto is so awesome she went above…,Kc Jacinto is so awesome she went above and beyond in finding us a flight that is suitable on our schedule. She is polite and explain well all the details regarding our trip.,2025-07-09,0,www.mangotours.com
Elizabeth,AU,5,Information readily found and booking…,Information readily found and booking made easy.,2025-07-09,0,www.hotelsone.com
GM,US,5,Excellent support,"Excellent support I received during my travel booking to India. The process was smooth, efficient, and stress-free, thanks to your attention to detail and quick responses. Thank you Tej",2025-07-09,0,indianeagle.com
