domain_id,domain
1_721,Travel Agency
2_205,Flights Search Site
3_165,Tour Operator
4_132,Travel Aggregator
5_94,Vacation Rental
6_91,Airline Ticket Agency
7_84,Hotel
8_76,Travel & Vacation
9_58,Airline
10_42,Tour Agency
11_32,Cruise Agency
12_31,Cultural Tours Provider
13_23,Visa Consultant
14_22,Cruise Travel Agency
15_22,Vacation Home Rental Agency
16_19,Parking Lot
17_19,Visa and Passport Office
18_18,Holiday Accommodation Service
19_17,Travel Insurance Company
20_14,Transportation Service
21_14,Lodging
22_13,Airport Shuttle Service
23_13,Car Rental Agency
24_12,Car Accessories Store
25_11,Pet-Friendly Accommodation
26_11,Software Company
27_11,Sightseeing Tour Agency
28_10,Taxi Service
29_10,Financial Consultant
30_10,Holiday Apartment Rental
31_9,Passport Office
32_9,Ski Holidays
33_8,Bus and Coach Company
34_8,Insurance Agency
35_8,Bus Tour Agency
36_7,Limousine Service
37_7,Boutique Hotel
38_6,Association or Organization
39_6,Budget Hotel
40_6,Property Management Company
41_6,Timeshare Agency
42_5,Self-Catering Accommodation
43_5,Bus Charter
44_5,Luxury Hotel
45_5,Cruise Line Company
46_5,Online Marketplace
47_5,Business to Business Service
48_5,Cottage
49_5,Family Hotel
50_5,Train Ticket Agency
51_5,Price Comparison Site
52_4,Cabin Rental Agency
53_4,Sport Tour Agency
54_4,Holiday Park
55_4,Holiday Home
56_4,Bus Company
57_4,Minibus Taxi Service
58_4,Real Estate Agency
59_4,Tourist Attraction
60_4,License Bureau
61_4,Resort
62_4,Valet Parking Service
63_4,Business Hotel
64_4,Tourist Information Center
65_4,Boat Tour Agency
66_3,Group Accommodation
67_3,Parking Garage
68_3,Passport Photo Processor
69_3,Camp
70_3,Hobby Store
71_3,Electronics Store
72_3,SCUBA Tour Agency
73_3,Airport
74_3,Passport Agent
75_3,Aviation Consultant
76_3,Serviced Accommodation
77_3,Airport Hotel
78_3,Bed & Breakfast
79_2,Aviation Training Institute
80_2,Camping Store
81_2,Condominium Rental Agency
82_2,Bags and Luggage Store
83_2,Insurance Company
84_2,Telecommunications Service Provider
85_2,Emergency Veterinarian Service
86_2,Insurance Broker
87_2,Yacht Broker
88_2,Furnished Apartment Building
89_2,Homestay
90_2,Bus Ticket Agency
91_2,Pet Insurance Company
92_2,Recreational Vehicle Rental Agency
93_2,Consultant
94_2,Short Term Apartment Rental Agency
95_2,Hostel
96_2,Adventure Sports
97_2,Recreational and Vacation Camps
98_2,Beach Resort
99_2,Amusement Center
100_2,Activewear Store
101_2,Furniture Store
102_2,Car Service
103_2,International Airport
104_2,Hotel Supply Store
105_2,Holiday Apartment
106_2,Mountain Cabin
107_1,Raft Trip Outfitter
108_1,Sportwear Manufacturer
109_1,Sporting Goods Store
110_1,Recreation Center
111_1,Search Engine Company
112_1,Web Collaboration Platform
113_1,Mobile Network Operator
114_1,Public Parking Space
115_1,RV Dealer
116_1,e-Commerce Service
117_1,Shipping Company
118_1,Pet Store
119_1,Alternative Financial Service
120_1,Hunting Store
121_1,Wedding Venue
122_1,Veterinarian
123_1,Day Spa
124_1,Spa Resort
125_1,Helicopter Tour Agency
126_1,Helicopter Charter
127_1,Aircraft Supply Store
128_1,Indoor Swimming Pool
129_1,Dive Shop
130_1,SCUBA Instructor
131_1,Outdoor Sports Store
132_1,Camera Store
133_1,Class
134_1,Bar Restaurant Furniture Store
135_1,Boat Rental Service
136_1,Business Networking Company
137_1,Apartment Building
138_1,Media Company
139_1,Restaurant Supply Store
140_1,Women's Clothing Store
141_1,Underwear Store
142_1,Lounge
143_1,Apartment Rental Agency
144_1,Log Cabins
145_1,Haunted House
146_1,Fishing Charter
147_1,Lingerie Store
148_1,Life Insurance Agency
149_1,Cell Phone Accessory Store
150_1,Photo Shop
151_1,Payment Service
152_1,History Museum
153_1,Review Site
154_1,Food Products Supplier
155_1,Commercial Refrigeration
156_1,Baking Supply Store
157_1,Animal Rescue Service
158_1,Animal Shelter
159_1,Social Services Organization
160_1,Dating Service
161_1,Cannabis store
162_1,Car Sharing Location
163_1,Van Rental Agency
164_1,Liability Insurance Company
165_1,Luggage Store
166_1,Regional Airport
167_1,Port Operating Company
168_1,Health Insurance Agency
169_1,Outdoor Activity Organiser
170_1,Driver and Vehicle Licensing Agency
171_1,Love Hotel
172_1,Website Designer
173_1,Social Club
174_1,Software Vendor
175_1,Cell Phone Store
176_1,Event Planner
177_1,Event Technology Service
178_1,Notary Public
179_1,Baby Clothing Store
180_1,Immigration and Naturalization Service
181_1,Paralegal Services Provider
182_1,Foreign Consulate
183_1,Children's Clothing Store
184_1,Outdoor Clothing and Equipment Shop
185_1,Clothing Store
186_1,Legal Services
187_1,Real Estate Consultant
188_1,Credit Counseling Service
189_1,Cottage Rental
190_1,Wellness Program
191_1,Road Cycling
192_1,Training School
193_1,Canoe & Kayak Tour Agency
194_1,Flight School
195_1,Real Estate Developer
196_1,Property Investment
197_1,Lodge
198_1,Canoe and Kayak Rental Service
199_1,Training Centre
200_1,Learning Center
201_1,Baseball
202_1,Recruitment Service
203_1,Travel lounge
204_1,Fitness and Nutrition Service
205_1,Roommate Referral Service
206_1,Event Ticket Seller
207_1,RV Park
208_1,Campground
209_1,Camping cabin
210_1,Soccer Store
211_1,Motor Scooter Dealer
212_1,Scooter Rental Service
213_1,Motorcycle Rental Agency
214_1,ATV Rental Service
215_1,Bicycle Rental Service
216_1,House Cleaning Service
217_1,Carpet Cleaning Service
218_1,Cleaning Service
219_1,Curtain and Upholstery Cleaning Service
220_1,Balloon Ride Tour Agency
221_1,Municipal Administration Office
222_1,Career and Education Provider
